Nickname,Avatar,KingCoin,Average Grade,Final Grade,E1-I,E1-E,E1-D,E1-C,E1-B,E1-A,E2-I,E2-E,E2-D,E2-C,E2-B,E2-A,E3-I,E3-E,E3-D,E3-C,E3-B,E3-A,E4-I,E4-E,E4-D,E4-C,E4-B,E4-A,E5-I,E5-E,E5-D,E5-C,E5-B,E5-A,E6-I,E6-E,E6-D,E6-C,E6-B,E6-A,E7-I,E7-E,E7-D,E7-C,E7-B,E7-A,E8-I,E8-E,E8-D,E8-C,E8-B,E8-A,E9-I,E9-E,E9-D,E9-C,E9-B,E9-A,EP1-I,EP1-E,EP1-D,EP1-C,EP1-B,EP1-A,EP2-I,EP2-E,EP2-D,EP2-C,EP2-B,EP2-A,EP3-I,EP3-E,EP3-D,EP3-C,EP3-B,EP3-A,EP4-I,EP4-E,EP4-D,EP4-C,EP4-B,EP4-A,EP5-I,EP5-E,EP5-D,EP5-C,EP5-B,EP5-A,EP6-I,EP6-E,EP6-D,EP6-C,EP6-B,EP6-A
kk,1,71,1.33333333333333,1.28125,,,,,,,,,p,,,,,,,3,,,0.5,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk2,1,58,0,0.9375,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prestonisawaterrat,29,32,1.9,2.28125,0.5,1,,2.5,,,,1,,,,,p,1,2,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,0.5,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Vana,8,51,1.75,1.5625,0.5,1,2,,,,,,,p,,,,,,3,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitea,9,104,1.91666666666667,2.53125,0.5,1,2,,,,,,p,,,,0.5,,,3,,,0.5,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,p,,,0.5,1,2,3,3,,,,,,,,0.5,1,2,p,,,,,,,,,,,,,,
KrakenIII,30,67,2.2,2.1875,0.5,1,2,,,,,,,p,,,0.5,1,,3,,,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,p,,,0.5,1,2,p,,,,,,,,,,,,,,,,,,,,,,,,,,
as,1,7,0,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ht,1,42,0,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TomT,18,48,1.9,2.1875,0.5,1,2,,,,,1,,p,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,1,p,,,,,,,,,0.5,1,2.5,p,,,,,,,,,,,,,,
sw,1,15,1,1.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jw,1,50,0,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jw2,1,64,0,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy’s gun12,50,81,1.83333333333333,2.21875,0.5,1,,2.5,,,,,,,,,0.5,1,,3,,,0.5,1,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,p,,,0.5,p,1.5,p,,,,,,,,,0.5,1,2,,,,,,,,,,,,,,,
mg,1,14,0,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
